aX = -0.08 | aY = 1.08 | aZ = 0.08 | tmp = 24.06 | gX =   1095 | gY =   7320 | gz =    -16
aX = -0.08 | aY = 1.05 | aZ = 0.23 | tmp = 24.01 | gX =   1278 | gY =   5111 | gz =    766
aX = -0.01 | aY = 1.08 | aZ = 0.09 | tmp = 24.01 | gX =   7137 | gY =   3551 | gz =   2837
aX = 0.10 | aY = 1.01 | aZ = 0.25 | tmp = 24.06 | gX =  29271 | gY =   1097 | gz =   7635
aX = 0.24 | aY = 0.67 | aZ = -0.72 | tmp = 24.11 | gX =  27822 | gY =    508 | gz =   7365
aX = 0.33 | aY = 0.52 | aZ = -0.84 | tmp = 24.11 | gX =   8892 | gY =   1329 | gz =   4518
aX = 0.30 | aY = 0.38 | aZ = -0.84 | tmp = 24.15 | gX =   1363 | gY =    -51 | gz =   4177
aX = 0.35 | aY = 0.25 | aZ = -0.95 | tmp = 24.11 | gX =  -2225 | gY =  -1207 | gz =   4026
aX = 0.32 | aY = 0.22 | aZ = -1.03 | tmp = 24.11 | gX =  -4069 | gY =  -1935 | gz =   3482
aX = 0.31 | aY = 0.24 | aZ = -0.98 | tmp = 24.11 | gX =  -3504 | gY =  -2502 | gz =   3630
aX = 0.31 | aY = 0.24 | aZ = -1.07 | tmp = 24.01 | gX =  -4101 | gY =  -2619 | gz =   3909
aX = 0.28 | aY = 0.30 | aZ = -1.10 | tmp = 24.06 | gX =  -5627 | gY =  -2763 | gz =   4429
aX = 0.24 | aY = 0.28 | aZ = -1.10 | tmp = 24.06 | gX =  -6398 | gY =  -2706 | gz =   4718
aX = 0.31 | aY = 0.18 | aZ = -1.18 | tmp = 24.01 | gX = -12191 | gY =  -1310 | gz =   2546
aX = 0.33 | aY = 0.29 | aZ = -0.96 | tmp = 24.01 | gX = -32768 | gY =   1210 | gz =  -5009
aX = 0.17 | aY = 0.63 | aZ = -0.39 | tmp = 24.06 | gX = -29165 | gY =   1625 | gz =  -5153
